Experiment Name,Type,Bait,Replicate,Bait ID
\\storage1.ris.wustl.edu\bmajor\Active\RIS_Major_Active_Mass Spec\MA7000-MA7099\MA7006_MAFG-mt_sulf_2.raw,T,MAFG-mT Sulforaphane,2,O15525
\\storage1.ris.wustl.edu\bmajor\Active\RIS_Major_Active_Mass Spec\MA7000-MA7099\MA7007_v5_dmso_3.raw,C,Empty DMSO,3,IDGT5;IDGT7;IDGT8
\\storage1.ris.wustl.edu\bmajor\Active\RIS_Major_Active_Mass Spec\MA7000-MA7099\MA7008_nls_dmso_3.raw,C,NLS DMSO,3,IDGT6;IDGT3
\\storage1.ris.wustl.edu\bmajor\Active\RIS_Major_Active_Mass Spec\MA7000-MA7099\MA7009_nes_dmso_3.raw,C,NES DMSO,3,IDGT6;IDGT3
\\storage1.ris.wustl.edu\bmajor\Active\RIS_Major_Active_Mass Spec\MA7000-MA7099\MA7010_mt-MAFG_dmso_3.raw,T,mT-MAFG DMSO,3,O15525
\\storage1.ris.wustl.edu\bmajor\Active\RIS_Major_Active_Mass Spec\MA7000-MA7099\MA7011_MAFG-mt_dmso_3.raw,T,MAFG-mT DMSO,3,O15525
\\storage1.ris.wustl.edu\bmajor\Active\RIS_Major_Active_Mass Spec\MA7000-MA7099\MA7012_v5_cddome_3.raw,C,Empty CDDOme,3,IDGT5;IDGT7;IDGT8
\\storage1.ris.wustl.edu\bmajor\Active\RIS_Major_Active_Mass Spec\MA7000-MA7099\MA7013_nls_cddome_3.raw,C,NLS CDDOme,3,IDGT6;IDGT3
\\storage1.ris.wustl.edu\bmajor\Active\RIS_Major_Active_Mass Spec\MA7000-MA7099\MA7014_nes_cddome_3.raw,C,NES CDDOme,3,IDGT6;IDGT3
\\storage1.ris.wustl.edu\bmajor\Active\RIS_Major_Active_Mass Spec\MA7000-MA7099\MA7015_mt-MAFG_cddome_3.raw,T,mT-MAFG CDDOme,3,O15525
\\storage1.ris.wustl.edu\bmajor\Active\RIS_Major_Active_Mass Spec\MA7000-MA7099\MA7016_MAFG-mt_cddome_3.raw,T,MAFG-mT CDDOme,3,O15525
\\storage1.ris.wustl.edu\bmajor\Active\RIS_Major_Active_Mass Spec\MA7000-MA7099\MA7017_v5_sulf_3.raw,C,Empty Sulforaphane,3,IDGT5;IDGT7;IDGT8
\\storage1.ris.wustl.edu\bmajor\Active\RIS_Major_Active_Mass Spec\MA7000-MA7099\MA7018_nls_sulf_3.raw,C,NLS Sulforaphane,3,IDGT6;IDGT3
\\storage1.ris.wustl.edu\bmajor\Active\RIS_Major_Active_Mass Spec\MA7000-MA7099\MA7019_nes_sulf_3.raw,C,NES Sulforaphane,3,IDGT6;IDGT3
\\storage1.ris.wustl.edu\bmajor\Active\RIS_Major_Active_Mass Spec\MA7000-MA7099\MA7020_mt-MAFG_sulf_3.raw,T,mT-MAFG Sulforaphane,3,O15525
\\storage1.ris.wustl.edu\bmajor\Active\RIS_Major_Active_Mass Spec\MA7000-MA7099\MA7021_MAFG-mt_sulf_3.raw,T,MAFG-mT Sulforaphane,3,O15525
